"Hostname","Status","Remark","Application_Name","Version","Publisher","SerialNumber","InstallDate","RegistryPath","Last_Scan_Time"
"L-PG03VRZB","OK","Successful","Office 16 Click-to-Run Extensibility Component","16.0.18827.20102","Microsoft Corporation","90160000-008C-0000-1000-0000000FF1CE","6/3/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-008C-0000-1000-0000000FF1CE}",
"L-PG03VRZB","OK","Successful","Python 3.12.2 Test Suite (64-bit)","3.12.2150.0","Python Software Foundation","94087C99-E4F5-4637-A789-3B6059DF787B","2/22/2024 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{94087C99-E4F5-4637-A789-3B6059DF787B}",
"L-PG03VRZB","OK","Successful","SQL Server 2022 XEvent","16.0.1000.6","Microsoft Corporation","94AEB0A0-365C-449B-B573-D2ECB353EB06","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{94AEB0A0-365C-449B-B573-D2ECB353EB06}",
"L-PG03VRZB","OK","Successful","SQL Server 2022 Shared Management Objects Extensions","16.0.1000.6","Microsoft Corporation","A0F7ACBA-075F-4BC7-A85A-5DC301FCEC74","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{A0F7ACBA-075F-4BC7-A85A-5DC301FCEC74}",
"L-PG03VRZB","OK","Successful","Microsoft Teams Meeting Add-in for Microsoft Office","1.25.14602","Microsoft","A7AB73A3-CB10-4AA5-9D38-6AEFFBDE4C91","6/29/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{A7AB73A3-CB10-4AA5-9D38-6AEFFBDE4C91}",
"L-PG03VRZB","OK","Successful","Microsoft VSS Writer for SQL Server 2022","16.0.1000.6","Microsoft Corporation","AB5D8778-81F3-47E2-87A4-35E776CD664B","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{AB5D8778-81F3-47E2-87A4-35E776CD664B}",
"L-PG03VRZB","OK","Successful","Adobe Acrobat (64-bit)","25.001.20531","Adobe","AC76BA86-1033-1033-7760-BC15014EA700","6/12/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{AC76BA86-1033-1033-7760-BC15014EA700}",
"L-PG03VRZB","OK","Successful","Python 3.12.2 Tcl/Tk Support (64-bit)","3.12.2150.0","Python Software Foundation","B50C92E9-2780-433A-AA61-E9F06D0AFF8A","2/22/2024 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{B50C92E9-2780-433A-AA61-E9F06D0AFF8A}",
"L-PG03VRZB","OK","Successful","Python 3.12.2 Documentation (64-bit)","3.12.2150.0","Python Software Foundation","BD32BDE9-835D-4013-8F9A-45FF11456F02","2/22/2024 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{BD32BDE9-835D-4013-8F9A-45FF11456F02}",
"L-PG03VRZB","OK","Successful","SQL Server 2022 XEvent","16.0.1000.6","Microsoft Corporation","BD8B7339-7559-4FC3-95E6-264324D45235","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{BD8B7339-7559-4FC3-95E6-264324D45235}",
"L-PG03VRZB","OK","Successful","Python 3.12.2 pip Bootstrap (64-bit)","3.12.2150.0","Python Software Foundation","BDE73EDC-76AE-475D-8885-9B583631B0FC","2/22/2024 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{BDE73EDC-76AE-475D-8885-9B583631B0FC}",
"L-PG03VRZB","OK","Successful","Microsoft SQL Server 2022 Setup (English)","16.0.1000.6","Microsoft Corporation","BF4D8C4B-D931-4D62-A7ED-8A34B2FC0D1B","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{BF4D8C4B-D931-4D62-A7ED-8A34B2FC0D1B}",
"L-PG03VRZB","OK","Successful","SQL Server 2022 Database Engine Services","16.0.1000.6","Microsoft Corporation","C4CF167C-4739-4A3A-8D75-59C9C5F135CA","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{C4CF167C-4739-4A3A-8D75-59C9C5F135CA}",
"L-PG03VRZB","OK","Successful","Microsoft Update Health Tools","5.72.0.0","Microsoft Corporation","C6FD611E-7EFE-488C-A0E0-974C09EF6473","11/10/2023 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{C6FD611E-7EFE-488C-A0E0-974C09EF6473}",
"L-PG03VRZB","OK","Successful","AWS Command Line Interface v2","2.15.15.0","Amazon Web Services","C7B18B27-C905-4161-BD5E-FD0650AE87A5","1/31/2024 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{C7B18B27-C905-4161-BD5E-FD0650AE87A5}",
"L-PG03VRZB","OK","Successful","WinZip 28.0","28.0.15640","Corel Corporation","CD95F661-A5C4-44F5-A6AA-ECDD91C24151","11/25/2023 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{CD95F661-A5C4-44F5-A6AA-ECDD91C24151}",
"L-PG03VRZB","OK","Successful","SQL Server 2022 Database Engine Shared","16.0.1000.6","Microsoft Corporation","D6E82158-05B9-4A18-A624-EA135BC77766","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{D6E82158-05B9-4A18-A624-EA135BC77766}",
"L-PG03VRZB","OK","Successful","SQL Server 2022 DMF","16.0.1000.6","Microsoft Corporation","DCA0C2D6-83BF-41AE-B1AB-C4181002DE40","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{DCA0C2D6-83BF-41AE-B1AB-C4181002DE40}",
"L-PG03VRZB","OK","Successful","Python 3.12.2 Standard Library (64-bit)","3.12.2150.0","Python Software Foundation","E172CAF3-ABC7-4B62-BA8C-3A2472DE44F6","2/22/2024 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{E172CAF3-ABC7-4B62-BA8C-3A2472DE44F6}",
